Date,Leader Price,Follower Price,Cost
130,1.725351,1.787394,1
129,1.725351,1.847996,1
128,1.725351,1.768879,1
127,1.725351,1.801936,1
126,1.725351,1.805337,1
125,1.725351,1.805331,1
124,1.725351,1.766334,1
123,1.725351,1.774747,1
122,1.725351,1.834496,1
121,1.725351,1.776707,1
120,1.725351,1.788476,1
119,1.725351,1.789635,1
118,1.725351,1.779579,1
117,1.725351,1.776616,1
116,1.725351,1.767281,1
115,1.725351,1.816556,1
114,1.725351,1.793059,1
113,1.725351,1.764119,1
112,1.725351,1.763422,1
111,1.725351,1.814475,1
110,1.725351,1.771529,1
109,1.725351,1.837445,1
108,1.725351,1.777026,1
107,1.725351,1.81264,1
106,1.725351,1.819374,1
105,1.725351,1.831085,1
104,1.725351,1.797453,1
103,1.725351,1.766277,1
102,1.725351,1.759456,1
101,1.725351,1.832501,1
