Date,Leader Price,Follower Price,Cost
130,1.755351,1.792022,1
129,1.755351,1.852894,1
128,1.755351,1.773424,1
127,1.755351,1.806628,1
126,1.755351,1.810044,1
125,1.755351,1.810039,1
124,1.755351,1.770868,1
123,1.755351,1.779318,1
122,1.755351,1.839333,1
121,1.755351,1.781287,1
120,1.755351,1.793109,1
119,1.755351,1.794272,1
118,1.755351,1.784172,1
117,1.755351,1.781196,1
116,1.755351,1.771819,1
115,1.755351,1.821313,1
114,1.755351,1.797711,1
113,1.755351,1.768643,1
112,1.755351,1.767943,1
111,1.755351,1.819223,1
110,1.755351,1.776086,1
109,1.755351,1.842296,1
108,1.755351,1.781607,1
107,1.755351,1.81738,1
106,1.755351,1.824144,1
105,1.755351,1.835908,1
104,1.755351,1.802125,1
103,1.755351,1.77081,1
102,1.755351,1.763959,1
101,1.755351,1.837329,1
