Date,Leader Price,Follower Price,Cost
130,1.845351,1.805904,1
129,1.845351,1.867588,1
128,1.845351,1.787059,1
127,1.845351,1.820706,1
126,1.845351,1.824167,1
125,1.845351,1.824162,1
124,1.845351,1.784468,1
123,1.845351,1.793032,1
122,1.845351,1.853846,1
121,1.845351,1.795027,1
120,1.845351,1.807006,1
119,1.845351,1.808185,1
118,1.845351,1.79795,1
117,1.845351,1.794934,1
116,1.845351,1.785432,1
115,1.845351,1.835586,1
114,1.845351,1.81167,1
113,1.845351,1.782214,1
112,1.845351,1.781505,1
111,1.845351,1.833469,1
110,1.845351,1.789756,1
109,1.845351,1.856848,1
108,1.845351,1.795351,1
107,1.845351,1.8316,1
106,1.845351,1.838455,1
105,1.845351,1.850375,1
104,1.845351,1.816143,1
103,1.845351,1.78441,1
102,1.845351,1.777468,1
101,1.845351,1.851816,1
