Date,Leader Price,Follower Price,Cost
130,1.835351,1.804362,1
129,1.835351,1.865955,1
128,1.835351,1.785544,1
127,1.835351,1.819141,1
126,1.835351,1.822598,1
125,1.835351,1.822592,1
124,1.835351,1.782957,1
123,1.835351,1.791508,1
122,1.835351,1.852234,1
121,1.835351,1.7935,1
120,1.835351,1.805461,1
119,1.835351,1.806639,1
118,1.835351,1.796419,1
117,1.835351,1.793408,1
116,1.835351,1.78392,1
115,1.835351,1.834,1
114,1.835351,1.810119,1
113,1.835351,1.780706,1
112,1.835351,1.779998,1
111,1.835351,1.831886,1
110,1.835351,1.788237,1
109,1.835351,1.855231,1
108,1.835351,1.793824,1
107,1.835351,1.83002,1
106,1.835351,1.836865,1
105,1.835351,1.848767,1
104,1.835351,1.814585,1
103,1.835351,1.782899,1
102,1.835351,1.775967,1
101,1.835351,1.850206,1
