Date,Leader Price,Follower Price,Cost
130,1.795351,1.798192,1
129,1.795351,1.859425,1
128,1.795351,1.779484,1
127,1.795351,1.812885,1
126,1.795351,1.816321,1
125,1.795351,1.816316,1
124,1.795351,1.776912,1
123,1.795351,1.785413,1
122,1.795351,1.845783,1
121,1.795351,1.787394,1
120,1.795351,1.799285,1
119,1.795351,1.800456,1
118,1.795351,1.790296,1
117,1.795351,1.787302,1
116,1.795351,1.777869,1
115,1.795351,1.827657,1
114,1.795351,1.803915,1
113,1.795351,1.774675,1
112,1.795351,1.773971,1
111,1.795351,1.825555,1
110,1.795351,1.782161,1
109,1.795351,1.848763,1
108,1.795351,1.787716,1
107,1.795351,1.8237,1
106,1.795351,1.830505,1
105,1.795351,1.842337,1
104,1.795351,1.808355,1
103,1.795351,1.776854,1
102,1.795351,1.769963,1
101,1.795351,1.843768,1
