Date,Leader Price,Follower Price,Cost
130,1.895351,1.813617,1
129,1.895351,1.875751,1
128,1.895351,1.794634,1
127,1.895351,1.828526,1
126,1.895351,1.832013,1
125,1.895351,1.832008,1
124,1.895351,1.792024,1
123,1.895351,1.80065,1
122,1.895351,1.861909,1
121,1.895351,1.80266,1
120,1.895351,1.814726,1
119,1.895351,1.815914,1
118,1.895351,1.805605,1
117,1.895351,1.802567,1
116,1.895351,1.792995,1
115,1.895351,1.843515,1
114,1.895351,1.819425,1
113,1.895351,1.789754,1
112,1.895351,1.789039,1
111,1.895351,1.841382,1
110,1.895351,1.797351,1
109,1.895351,1.864933,1
108,1.895351,1.802987,1
107,1.895351,1.839501,1
106,1.895351,1.846405,1
105,1.895351,1.858412,1
104,1.895351,1.82393,1
103,1.895351,1.791965,1
102,1.895351,1.784973,1
101,1.895351,1.859864,1
