Date,Leader Price,Follower Price,Cost
130,1.865351,1.808989,1
129,1.865351,1.870853,1
128,1.865351,1.790089,1
127,1.865351,1.823834,1
126,1.865351,1.827305,1
125,1.865351,1.8273,1
124,1.865351,1.787491,1
123,1.865351,1.796079,1
122,1.865351,1.857071,1
121,1.865351,1.79808,1
120,1.865351,1.810094,1
119,1.865351,1.811277,1
118,1.865351,1.801012,1
117,1.865351,1.797987,1
116,1.865351,1.788457,1
115,1.865351,1.838758,1
114,1.865351,1.814772,1
113,1.865351,1.78523,1
112,1.865351,1.784519,1
111,1.865351,1.836634,1
110,1.865351,1.792794,1
109,1.865351,1.860082,1
108,1.865351,1.798406,1
107,1.865351,1.834761,1
106,1.865351,1.841635,1
105,1.865351,1.85359,1
104,1.865351,1.819258,1
103,1.865351,1.787432,1
102,1.865351,1.78047,1
101,1.865351,1.855035,1
