Date,Leader Price,Follower Price,Cost
130,1.875351,1.810532,1
129,1.875351,1.872486,1
128,1.875351,1.791604,1
127,1.875351,1.825398,1
126,1.875351,1.828874,1
125,1.875351,1.828869,1
124,1.875351,1.789002,1
123,1.875351,1.797603,1
122,1.875351,1.858684,1
121,1.875351,1.799607,1
120,1.875351,1.811638,1
119,1.875351,1.812822,1
118,1.875351,1.802543,1
117,1.875351,1.799514,1
116,1.875351,1.78997,1
115,1.875351,1.840344,1
114,1.875351,1.816323,1
113,1.875351,1.786738,1
112,1.875351,1.786025,1
111,1.875351,1.838217,1
110,1.875351,1.794313,1
109,1.875351,1.861699,1
108,1.875351,1.799933,1
107,1.875351,1.836341,1
106,1.875351,1.843225,1
105,1.875351,1.855197,1
104,1.875351,1.820815,1
103,1.875351,1.788943,1
102,1.875351,1.781971,1
101,1.875351,1.856644,1
