Date,Leader Price,Follower Price,Cost
130,1.775351,1.795107,1
129,1.775351,1.856159,1
128,1.775351,1.776454,1
127,1.775351,1.809757,1
126,1.775351,1.813183,1
125,1.775351,1.813177,1
124,1.775351,1.77389,1
123,1.775351,1.782366,1
122,1.775351,1.842558,1
121,1.775351,1.78434,1
120,1.775351,1.796197,1
119,1.775351,1.797364,1
118,1.775351,1.787234,1
117,1.775351,1.784249,1
116,1.775351,1.774844,1
115,1.775351,1.824485,1
114,1.775351,1.800813,1
113,1.775351,1.771659,1
112,1.775351,1.770957,1
111,1.775351,1.822389,1
110,1.775351,1.779123,1
109,1.775351,1.84553,1
108,1.775351,1.784662,1
107,1.775351,1.82054,1
106,1.775351,1.827324,1
105,1.775351,1.839122,1
104,1.775351,1.80524,1
103,1.775351,1.773832,1
102,1.775351,1.766961,1
101,1.775351,1.840549,1
