Date,Leader Price,Follower Price,Cost
130,1.765351,1.793564,1
129,1.765351,1.854527,1
128,1.765351,1.774939,1
127,1.765351,1.808193,1
126,1.765351,1.811613,1
125,1.765351,1.811608,1
124,1.765351,1.772379,1
123,1.765351,1.780842,1
122,1.765351,1.840946,1
121,1.765351,1.782814,1
120,1.765351,1.794653,1
119,1.765351,1.795818,1
118,1.765351,1.785703,1
117,1.765351,1.782722,1
116,1.765351,1.773331,1
115,1.765351,1.822899,1
114,1.765351,1.799262,1
113,1.765351,1.770151,1
112,1.765351,1.76945,1
111,1.765351,1.820806,1
110,1.765351,1.777605,1
109,1.765351,1.843913,1
108,1.765351,1.783135,1
107,1.765351,1.81896,1
106,1.765351,1.825734,1
105,1.765351,1.837515,1
104,1.765351,1.803683,1
103,1.765351,1.772321,1
102,1.765351,1.76546,1
101,1.765351,1.838939,1
