Date,Leader Price,Follower Price,Cost
130,1.785351,1.796649,1
129,1.785351,1.857792,1
128,1.785351,1.777969,1
127,1.785351,1.811321,1
126,1.785351,1.814752,1
125,1.785351,1.814746,1
124,1.785351,1.775401,1
123,1.785351,1.783889,1
122,1.785351,1.844171,1
121,1.785351,1.785867,1
120,1.785351,1.797741,1
119,1.785351,1.79891,1
118,1.785351,1.788765,1
117,1.785351,1.785775,1
116,1.785351,1.776357,1
115,1.785351,1.826071,1
114,1.785351,1.802364,1
113,1.785351,1.773167,1
112,1.785351,1.772464,1
111,1.785351,1.823972,1
110,1.785351,1.780642,1
109,1.785351,1.847147,1
108,1.785351,1.786189,1
107,1.785351,1.82212,1
106,1.785351,1.828915,1
105,1.785351,1.84073,1
104,1.785351,1.806798,1
103,1.785351,1.775343,1
102,1.785351,1.768462,1
101,1.785351,1.842158,1
