Date,Leader Price,Follower Price,Cost
130,1.825351,1.802819,1
129,1.825351,1.864323,1
128,1.825351,1.784029,1
127,1.825351,1.817577,1
126,1.825351,1.821029,1
125,1.825351,1.821023,1
124,1.825351,1.781446,1
123,1.825351,1.789984,1
122,1.825351,1.850621,1
121,1.825351,1.791973,1
120,1.825351,1.803917,1
119,1.825351,1.805093,1
118,1.825351,1.794888,1
117,1.825351,1.791881,1
116,1.825351,1.782407,1
115,1.825351,1.832414,1
114,1.825351,1.808568,1
113,1.825351,1.779198,1
112,1.825351,1.778491,1
111,1.825351,1.830303,1
110,1.825351,1.786718,1
109,1.825351,1.853614,1
108,1.825351,1.792297,1
107,1.825351,1.82844,1
106,1.825351,1.835275,1
105,1.825351,1.84716,1
104,1.825351,1.813028,1
103,1.825351,1.781388,1
102,1.825351,1.774466,1
101,1.825351,1.848597,1
