Date,Leader Price,Follower Price,Cost
130,1.805351,1.799734,1
129,1.805351,1.861057,1
128,1.805351,1.780999,1
127,1.805351,1.814449,1
126,1.805351,1.81789,1
125,1.805351,1.817885,1
124,1.805351,1.778424,1
123,1.805351,1.786937,1
122,1.805351,1.847396,1
121,1.805351,1.78892,1
120,1.805351,1.800829,1
119,1.805351,1.802001,1
118,1.805351,1.791827,1
117,1.805351,1.788828,1
116,1.805351,1.779382,1
115,1.805351,1.829243,1
114,1.805351,1.805466,1
113,1.805351,1.776182,1
112,1.805351,1.775477,1
111,1.805351,1.827137,1
110,1.805351,1.78368,1
109,1.805351,1.85038,1
108,1.805351,1.789243,1
107,1.805351,1.82528,1
106,1.805351,1.832095,1
105,1.805351,1.843945,1
104,1.805351,1.809913,1
103,1.805351,1.778365,1
102,1.805351,1.771464,1
101,1.805351,1.845377,1
