Date,Leader Price,Follower Price,Cost
130,1.815351,1.801277,1
129,1.815351,1.86269,1
128,1.815351,1.782514,1
127,1.815351,1.816013,1
126,1.815351,1.819459,1
125,1.815351,1.819454,1
124,1.815351,1.779935,1
123,1.815351,1.788461,1
122,1.815351,1.849009,1
121,1.815351,1.790447,1
120,1.815351,1.802373,1
119,1.815351,1.803547,1
118,1.815351,1.793357,1
117,1.815351,1.790355,1
116,1.815351,1.780894,1
115,1.815351,1.830828,1
114,1.815351,1.807017,1
113,1.815351,1.77769,1
112,1.815351,1.776984,1
111,1.815351,1.82872,1
110,1.815351,1.785199,1
109,1.815351,1.851997,1
108,1.815351,1.79077,1
107,1.815351,1.82686,1
106,1.815351,1.833685,1
105,1.815351,1.845552,1
104,1.815351,1.81147,1
103,1.815351,1.779877,1
102,1.815351,1.772965,1
101,1.815351,1.846987,1
