Date,Leader Price,Follower Price,Cost
130,1.735351,1.788937,1
129,1.735351,1.849629,1
128,1.735351,1.770394,1
127,1.735351,1.8035,1
126,1.735351,1.806906,1
125,1.735351,1.806901,1
124,1.735351,1.767845,1
123,1.735351,1.776271,1
122,1.735351,1.836108,1
121,1.735351,1.778234,1
120,1.735351,1.79002,1
119,1.735351,1.791181,1
118,1.735351,1.78111,1
117,1.735351,1.778143,1
116,1.735351,1.768794,1
115,1.735351,1.818141,1
114,1.735351,1.79461,1
113,1.735351,1.765627,1
112,1.735351,1.764929,1
111,1.735351,1.816058,1
110,1.735351,1.773048,1
109,1.735351,1.839062,1
108,1.735351,1.778553,1
107,1.735351,1.81422,1
106,1.735351,1.820964,1
105,1.735351,1.832693,1
104,1.735351,1.799011,1
103,1.735351,1.767788,1
102,1.735351,1.760957,1
101,1.735351,1.83411,1
