Date,Leader Price,Follower Price,Cost
130,1.855351,1.807447,1
129,1.855351,1.86922,1
128,1.855351,1.788574,1
127,1.855351,1.82227,1
126,1.855351,1.825736,1
125,1.855351,1.825731,1
124,1.855351,1.78598,1
123,1.855351,1.794555,1
122,1.855351,1.855459,1
121,1.855351,1.796553,1
120,1.855351,1.80855,1
119,1.855351,1.809731,1
118,1.855351,1.799481,1
117,1.855351,1.796461,1
116,1.855351,1.786945,1
115,1.855351,1.837172,1
114,1.855351,1.813221,1
113,1.855351,1.783722,1
112,1.855351,1.783012,1
111,1.855351,1.835051,1
110,1.855351,1.791275,1
109,1.855351,1.858465,1
108,1.855351,1.796878,1
107,1.855351,1.83318,1
106,1.855351,1.840045,1
105,1.855351,1.851982,1
104,1.855351,1.8177,1
103,1.855351,1.785921,1
102,1.855351,1.778969,1
101,1.855351,1.853425,1
